left,right,metric,mean_difference,low,high,wilcoxon_p,ttest_p,n_pairs
replay,lwf,auc,0.007406360434003445,0.0028526397239724433,0.011960081144034447,0.01220703125,0.00863992344487961,12
replay,lwf,final_bwt_auc,0.009207336899579378,0.004382259797641098,0.014032414001517658,0.00927734375,0.0032654852515891218,12
replay,si,auc,0.007409899157586035,0.00043391635456676257,0.014385881960605307,0.06396484375,0.06149429765457349,12
replay,si,final_bwt_auc,0.0011530327482327369,-0.006989470953922939,0.009295536450388412,0.90966796875,0.786505495417041,12
replay,no-cl,auc,0.01837169672912529,0.010872774911049368,0.025870618547201213,0.0009765625,0.000551726107742041,12
replay,no-cl,final_bwt_auc,0.019499975581689484,0.013494881015078834,0.025505070148300134,0.00048828125,5.335833551522678e-05,12
lwf,no-cl,auc,0.010965336295121845,0.004676133697272901,0.017254538892970787,0.00244140625,0.00575064796251203,12
lwf,no-cl,final_bwt_auc,0.010292638682110104,0.00504135717617458,0.015543920188045629,0.00244140625,0.002738721056668982,12
si,no-cl,auc,0.010961797571539256,0.0020219712112994354,0.019901623931779078,0.04248046875,0.03502714550862671,12
si,no-cl,final_bwt_auc,0.018346942833456743,0.010155438134058243,0.026538447532855242,0.00048828125,0.0010811512885939348,12
zebra,no-cl,auc,-0.003150216472585741,-0.008954441372171199,0.0026540084269997166,0.2333984375,0.31022297003713695,12
zebra,no-cl,final_bwt_auc,-9.123823298708376e-05,-0.004942984506194022,0.004760508040219854,0.9697265625,0.9712584097453247,12
zebra,zebra-shuffled,auc,-0.001891254290838094,-0.010856961573729791,0.0070744529920536035,0.423828125,0.6872236708787423,12
zebra,zebra-shuffled,final_bwt_auc,-0.0025341306728842153,-0.009476123016403312,0.004407861670634881,0.30126953125,0.489217975802832,12
zebra-replay,replay,auc,-0.00022185180636042726,-0.004001944483922431,0.0035582408712015764,0.90966796875,0.9104931408189841,12
zebra-replay,replay,final_bwt_auc,0.0007391855312689419,-0.0029911106108117913,0.0044694816733496755,0.791015625,0.7051402995086365,12
