strategy,metric,mean,low,high,n
ewc,auc,0.8549453020699969,0.841487765593658,0.8684028385463357,12
ewc,f1,0.6832278868450113,0.6571688111933587,0.709286962496664,12
ewc,final_bwt_auc,-0.03391226820595593,-0.043808653405722785,-0.024015883006189072,12
ewc,mean_stage_bwt_auc,-0.029329326303742725,-0.03446134808260294,-0.02419730452488251,12
ewc,plasticity_auc,0.37304266455350926,0.30732683667039534,0.4387584924366232,12
ewc,stability_auc,0.9568133810977576,0.9476678005205919,0.9659589616749233,12
ewc,ps_auc,0.5293988321202227,0.46207604091770504,0.5967216233227403,12
gen-replay,auc,0.8597110422251864,0.843133897224032,0.8762881872263407,12
gen-replay,f1,0.6883775361718651,0.6681920041099203,0.70856306823381,12
gen-replay,final_bwt_auc,-0.028459767750190462,-0.04230857020597391,-0.014610965294407013,12
gen-replay,mean_stage_bwt_auc,-0.028093992478644053,-0.0341312811247287,-0.02205670383255941,12
gen-replay,plasticity_auc,0.37326533628321923,0.29663113654597123,0.44989953602046723,12
gen-replay,stability_auc,0.963565128748059,0.9519326779983303,0.9751975794977877,12
gen-replay,ps_auc,0.5275489984193514,0.4462484615286644,0.6088495353100385,12
lwf,auc,0.867966432568345,0.857870402057186,0.8780624630795041,12
lwf,f1,0.70116217392011,0.6893592603465986,0.7129650874936215,12
lwf,final_bwt_auc,-0.020908020595947624,-0.027440775431334694,-0.014375265760560554,12
lwf,mean_stage_bwt_auc,-0.01967145996594982,-0.02504610544352012,-0.014296814488379519,12
lwf,plasticity_auc,0.29932166606858607,0.2603418147060592,0.3383015174311129,12
lwf,stability_auc,0.9689114601219805,0.9639212067051074,0.9739017135388536,12
lwf,ps_auc,0.45423875977950473,0.40846532587621376,0.5000121936827957,12
no-cl,auc,0.8570010962732232,0.8426232264840783,0.8713789660623681,12
no-cl,f1,0.6797780437258019,0.6470734518493824,0.7124826356022214,12
no-cl,final_bwt_auc,-0.031200659278057725,-0.04207592765811412,-0.020325390898001335,12
no-cl,mean_stage_bwt_auc,-0.029787410042533755,-0.03441506122015665,-0.025159758864910862,12
no-cl,plasticity_auc,0.34962192178652357,0.2945507510380416,0.4046930925350055,12
no-cl,stability_auc,0.9595759242124963,0.9495541858418475,0.9695976625831451,12
no-cl,ps_auc,0.506994940681888,0.44718206862140164,0.5668078127423744,12
replay,auc,0.8753727930023486,0.863503162481517,0.8872424235231802,12
replay,f1,0.7441896402313583,0.7301588695345399,0.7582204109281766,12
replay,final_bwt_auc,-0.011700683696368246,-0.01829292598603046,-0.0051084414067060335,12
replay,mean_stage_bwt_auc,-0.007930525701409083,-0.011928245723577043,-0.003932805679241124,12
replay,plasticity_auc,0.2709809456188672,0.23848918639974404,0.3034727048379904,12
